,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$185,500.00",1010 HAMILTON AVE,LEHIGH ACRES,1 Bed/2(0),"1,593",--,"$185,500.00",08/26/22
,,"$179,999.00",210 SUNSET BLVD E,PUNTA GORDA,3 Bed/2(0),"1,591",3,"$186,000.00",11/18/22
,,"$180,000.00",400 CACTUS CIR,LEHIGH ACRES,3 Bed/1(0),"1,038",2,"$187,000.00",07/15/22
,,"$189,900.00",18130 PIONEER RD,FORT MYERS,3 Bed/2(0),"1,296",--,"$189,900.00",12/05/22
,,"$190,000.00",3429 FRANKLIN ST,FORT MYERS,3 Bed/2(0),"1,008",0,"$190,000.00",07/28/22
,,"$199,000.00",16737 PHEASANT CT,FORT MYERS,3 Bed/2(0),"1,855",24,"$190,000.00",12/26/22
,,"$230,000.00",3057 GRAND AVE,FORT MYERS,3 Bed/1(0),"1,256",1,"$190,000.00",07/14/22
,,"$199,000.00",290 HENDRY ST,LABELLE,3 Bed/1(0),"1,092",6,"$190,000.00",08/05/22
,,"$175,000.00",440 VALLEY DR,LEHIGH ACRES,3 Bed/2(0),"1,344",2,"$190,000.00",10/28/22
,,"$202,900.00",500 E JASMINE RD,LEHIGH ACRES,2+Den/1(0),970,20,"$190,000.00",08/22/22
,,"$250,000.00",1881 BANANA ST,PORT CHARLOTTE,2 Bed/1(0),728,0,"$190,000.00",10/24/22
,,"$210,000.00",1116 NAVAJO AVE,LEHIGH ACRES,3 Bed/1(0),920,18,"$191,000.00",09/09/22
,,"$199,900.00",1830 SEAFAN CIR,NORTH FORT MYERS,3+Den/2(0),"1,426",9,"$191,000.00",12/13/22
,,"$187,900.00",10 JASMINE RD W,LEHIGH ACRES,2 Bed/1(0),920,53,"$192,000.00",09/26/22
,,"$199,000.00",875 EDISON AVE,LABELLE,3+Den/1(1),"1,344",8,"$193,000.00",09/30/22
,,"$194,900.00",1662 DANIELS DR,NORTH FORT MYERS,2 Bed/1(0),984,4,"$194,900.00",09/07/22
,,"$194,900.00",5015 S OBISPO CIR,LABELLE,2 Bed/2(0),"1,000",93,"$196,231.00",12/27/22
,,"$239,900.00",604 ARTHUR AVE,LEHIGH ACRES,2 Bed/2(0),"1,421",24,"$197,000.00",11/28/22
,,"$199,000.00",214 SE 47TH TER,CAPE CORAL,2 Bed/2(0),"1,321",1,"$199,000.00",12/05/22
,,"$199,000.00",3809 4TH ST SW,LEHIGH ACRES,3 Bed/1(1),"1,248",14,"$199,000.00",12/30/22
,,"$199,000.00",40 VICTORIA DR,NORTH FORT MYERS,3 Bed/1(0),925,6,"$199,000.00",08/29/22
,,"$199,000.00",2702 N 2ND ST,NORTH FORT MYERS,3 Bed/1(0),680,28,"$199,000.00",08/08/22
,,"$199,900.00",240 HARDEE ST,LABELLE,3+Den/2(0),"1,405",8,"$199,900.00",08/12/22
,,"$250,000.00",2180 CORONET ST,FORT MYERS,3 Bed/1(0),768,8,"$200,000.00",10/21/22
,,"$199,900.00",2038 LINHART AVE,FORT MYERS,3+Den/2(0),"1,123",6,"$200,000.00",10/29/22
,,"$200,000.00",1439 BERT DR,FORT MYERS,3 Bed/1(0),921,21,"$200,000.00",08/15/22
,,"$198,000.00",1662 HARVARD CT,FORT MYERS,3 Bed/2(0),"1,385",3,"$200,000.00",07/15/22
,,"$200,000.00",2014 LIGHTHOUSE CT,LABELLE,2 Bed/1(0),956,39,"$200,000.00",12/07/22
,,"$279,900.00",531 KILGOUR AVE,LEHIGH ACRES,3 Bed/2(0),"1,448",0,"$200,000.00",09/07/22
,,"$219,900.00",1101 LINCOLN BLVD,LEHIGH ACRES,4 Bed/2(0),"1,949",71,"$200,000.00",12/19/22
